sentID.BTEC	split	BEI	ALEX	AMM	ASW	ALE	CAI	DAM	JER	SAL	MSA	DOH	RAB	TUN	ALG	BAG	BAS	BEN	FES	JED	KHA	MOS	MUS	ARI	SAN	SFX	TRI
11159	corpus-6-train	ممكن تكتب هالشي، إذا بتريد ؟					ممكن تكتب ده، من فضلك؟				هلاّ دونت ذلك ، من فضلك ؟	ممكن تكتبه، لو سمحت؟	واش يمكن ليك تكتب هاد الشي، عافاك؟	تنجم تكتبهولي، يعيشك؟													
11160	corpus-6-train	بدي روح عالحمام .					عايز أروح الحمام .				أريد الذهاب إلى الحمام .	احتاج اروح الحمام.	خاصني نمشي للمرحاض.	يلزمني نمشي للتوالات.													
11161	corpus-6-test-corpus-26-train	معدتي تقيلة .	حاسس إن معدتى تقيلة.	حاسس معدتي تقيلة.	معدتي بتألمني جامد.	معدتي كأنو تقلانة.	حاسس ان معدتي تقيلة .	حاسس معدتي تقيلة.	معدتي مليانة.	حاس معدتي ثقيلة .	معدتي ثقيلة .	معدتي ثقيلة.	معدتي تقيلة عليا.	عندي معدتي ثقيلة.	المعدة ديالي ثقيلة.	معدتي ثكيلة.	احس معدتي ثكيلة.	معدتي نحسها مليانه.	كنحس بالمعدة ديالي ثقيلة.	بطني مليانة.	بطني تبدو تقيلة.	معدتي تشعر بالثقل.	معدتي ااحسها ثقيلة.	معدتي ثقيلة.	بطني بين احسها ثقيله.	ماعدتي رزينة.	بطني رزينه.
11162	corpus-6-train	شو نسبة التضخم؟					كم معدل التضخم؟				ما هو معدل التضخم ؟	كم معدل التضخم؟	اشحال نسبة التضخم؟	قداش نسبة التضخم؟													
11163	corpus-6-train	سيسيناتي ردس خسرانين تلت جولات.					فريق سينسيناتي ريدز خسرانين بتلات أشواط .				إن فريق سينسيناتي ريدز يخسر بثلاثة جولات .	سنسناتي ريدز خسرانين باربعة اشواط.	د السانسيناتي ريدس ضيعو تلاتة دالجولات.	سينسيناتي ريدز خسرو تلاثا أشواط.													
11164	corpus-6-train	وين منطقة التزلح عالجليد؟					فين منطقة التزحلق؟				أين منطقة التزلج على الثلج ؟	وين منحدر التزلج؟	فين هو فضاء سنو بورد؟	وين موجودة بلاصة التزلج عل الجليد؟													
11166	corpus-6-train	ايه، بتقلو نوريكو ايتوه اتصل؟					أيوه، حتقوله نوريكو ايتو اتصل؟				نعم ، هلا أبلغته أن نوريكو أيتوه قد اتصل ؟	اي، ممكن تقول له ان نوريكو إيتوه اتصل؟	نعم، واخا تقول ليه باللي نوريكو ايتوه اتصل؟	إيه، تنجم تقلو إنو نوريكو إيتو تلفن؟													
11167	corpus-6-train	وين فيي ادفع اجار للمسافة الزيادة؟					فين أقدر ادفع ألاجرة لمسافة أزيد؟				أين يمكن أن أدفع أجر المسافة الإضافية ؟	وين اقدر ادفع رسوم المسافة الاضافية؟	فين يمكن لي نخلص المبلغ ديال المسافة الإضافية؟	وين نجم نخلص المبلغ متاع المسافة الزايدة؟													
11168	corpus-6-train	وين الباص؟					فين الاتوبيس اللي شغال عالخط ده؟				أين الحافلة الخاصة بهذا الخط ؟	وين الباص السياحي؟	فيناهي الطوبيس المكوكي؟	وين موجودة الكار المسترسلة؟													
11170	corpus-6-train	بدي كعب لعصاية الغولف .					عايز نعل .				أريد بعضاً من سمك موسى .	ابغي قاعة جوتي.	بغيت شي حوت صول.	نحب صول.													
11171	corpus-6-test-corpus-26-dev	حلو . وين فينا ننطرك؟	دة كويس. نقدر نستناك فين؟	فكرة حلوة. وين ممكن نستناك؟	كده ماشى. ممكن نستناك فين؟	حلو الحكي. وين خرج نستناك؟	ده كلام كويس . حنستناك فين؟	هيك منيح. وين نستناك؟	هيك تمام. وين بنقدر نستناك؟	شكلو منيح . وين بنقدر نستناك؟	يبدو هذا جيدا ، أين يمكن أن ننتظرك ؟	جذي زين. وين ننتظرك؟	هادشي باين رائع. فين يمكن لينا نستناوكم؟	هذا يظهر فيه هايل. وين نجمو نستناوك؟	يبان هايل. وين نقدرو نستناوك؟	جنها زينة. وين ننتظرك؟	ذاك مبين زين. وين نكدر نتتظرك؟	باين كويس. وين نقدرو نراجوك؟	هادشي كيبان مزيان فين ممكن نتسناوكوم؟	مرة كويس. فين نقدر ننتظرك؟	داك شكله جيد. وين ممكن ننتظرك؟	هذا يبين مليح. وين نطيق ننتظرو؟	هالصوت جيد. وين ننتظرك؟	يبدو جيد. وين نقدر ننتظرك؟	سابر. اين نقدر نراعي لك؟	تضهر باهية. وين انجموا نستناوك؟	تمام بكل. وين نقدرو نستنوك؟
11174	corpus-6-test-corpus-26-train	فينا نبلش لعب بس يخلصوا؟	ممكن نبدأ نلعب لما يخلصوا؟	ممكن نبدا نلعب بس يخلصوا؟	ممكن نبتدى لعب لما يخلصو؟	معلش نبدا نلعب بس يخلصوا؟	ممكن نبدأ نلعب لما يخلصو؟	ممكن نبلش لعب وقت يخلصوا؟	بنقدر نبلش نلعب لما يخلصو؟	بنقدر نبلش لعب بس يخلصو؟	هل يمكن أن نبدأ اللعب عندما ينتهون ؟	يصير نبتدي لعب لما يخلصون؟	واش نقدرو نبداو اللعب منين يساليو؟	ياخي نجمو نبداو نلعبو وقتلي يكملو؟	نقدرو نبداو نلعبو كي يكملو؟	نكدر نباشر باللعب لمن يخلصون؟	تكدر تبدي تلعب من يخلصون؟	نقدرو نبدو نلعبو لما هما يكملو؟	ممكن نبداو اللعب ملي يساليو؟	نقدر نبدا نلعب لما يغلقو؟	ممكن نبدأ اللعب لم ينتهوا؟	ممكن نبدي نلعب لمن يخلصون؟	هل يمكن أن نبدأ اللعب لما يخلص؟	نقدر نبدأ لعب اذا انتهوا؟	عنقدر نبدا نلعب لمن يتمو؟	انجموا نبداو نلعبوا كيف يوفاو؟	هل نقدرو نلعبو لما هما يكملو؟
11177	corpus-6-train	بعطيك شي كرمال تبكي؟					عايزاني اديلك سبب عشان تبكي؟				هل سأعاقبك على البكاء من غير سبب ؟	اعطيك شي يصيحك؟	واش بغيتيني نعطيك شي سبب تبكي عليه؟	تحب نعطيك سبب للبكاء؟													
11179	corpus-6-train	وقعت عالدرج .					وقعت عالسلالم .				سقطت من على السلم .	طحت على الكرسي.	اطحت فالدروج.	طحت في الدروج.													
11182	corpus-6-train	غسل هيدا بكرا قبل الساعة تسعة الصبح .					اغسل ده على بكرة تسعة الصبح .				أغسل هذا قبل التاسعة من صباح الغد .	غسل هذي حق بكرة على الساعة تسع الصبح.	هاد الشي يكون مغسول غدا فالصباح مع التسعود.	أغسل هذا لغدوة في الصباح، مع التسعا متاع الصباح.													
11183	corpus-6-train	بدي روح اتصيد .					عايز أروح أصطاد .				أريد الذهاب لصيد السمك .	ابغي اروح احدق.	بغيت نمشي للصيد.	نحب نمشي نصطاد.													
11184	corpus-6-train	قدمتلنا قهوة ضخمة.					قدمتنلنا قهوه مركزه .				إنها تقدم لنا قهوة ذات جودة عالية .	هي تعطينا قهوة ثقيلة.	قدمات لينا قهوة قاصحة.	سربتلنا قهوة قوية.													
11185	corpus-6-train	بتقدر تصلحلي كعب هالشوز؟					ممكن تصلحلي كعوب الجزم ديه؟				هل يمكن أن تصلح كعب هذا الحذاء لي ؟	ممكن تعدل لي كعب هالجوتي؟	يمكن ليك تصلح ليا كعب هاد الصباط؟	تنجم تصلحلي أقدام الصبابط هاذم؟													
11186	corpus-6-train	بدي لاقي وقت الاقلاع لرحلتي التانية.					عايز أعرف امتى معاد طلوع الطيارة التانية بتاعتي.				أريد أن أعرف موعد مغادرة رحلتي الجوية الواصلة .	ابغي اعرف متى تطير رحلتي الثانية.	بغيت نعرف ساعة الانطلاقة ديال الرحلة الثانية ديالي.	نحب نعرف وقت اقلاع الرحلة الثانية متاعي.													
11188	corpus-6-train	هونيك. إذا بتريد خود واحد.					ديه قدامك هناك . خد راحتك لو عايز تاخد واحد .				إنه هناك بالضبط . من فضلك لا بأس أن تأخذ واحدة .	هناك. حياك خذ واحد.	راه غير لهيها. عافاك ماتترددش تاخد واحد.	هو بالضبط غادي. ما تترددش باش تاخو واحد.													
11189	corpus-6-train	فينا نستعمل ملعب التنس المسا؟					نقدر نستعمل ملعب التنس النهارده العصر؟				هل يمكن أن نستخدم معلب التنس عصر اليوم ؟	ممكن نستخدم ملعب التنس اليوم الظهر؟	واش يمكن لينا نستعملو ملعب التنس هاد العشية؟	نجمو نستعملو ملعب التنس اليوم بعد -نص النهار؟													
11190	corpus-6-test-corpus-26-train	عدد سكان اليابان حوالي مية وعشرين مليون .	تعداد سكان اليابان حوالى مية وعشرين مليون.	عدد سكان اليابان حوالي مية وعشرين مليون.	سكان اليابان حوالى ماية وعشرين مليون.	تعداد اليابان حوالي مية وعشرين مليون.	عدد سكان اليابان حوالي ميه و عشرين مليون .	تعداد سكان اليابان هوة مية وعشرين مليون تقريباً.	عدد السكان في اليابان تقريباً مية و عشرين مليون.	عدد سكان اليابان حوالي مية و عشرين مليون .	تعداد سكان اليابان حوالي مائة وعشرينا مليونا .	عدد السكان في اليابان مية وعشرين مليون تقريباً.	عدد سكان اليابان تقريبا مية و عشرين مليون نسمة.	الشعب الياباني يساوي تقريب ميا وعشرين مليون ساكن.	سكان اليابان حوالي مئة و عشرون مليون.	مسمة اليابان حوالي ميه وعشرين مليون.	نفوس اليابان بحدود مية وعشرين مليون.	التعداد السكاني لليابان هو حوالي ميه و عشرين مليون.	عدد سكان اليابان تقريبا مائة وعشرين مليون نسمة.	سكان اليأبان تقريباً مية وعشرين مليون.	سكان اليابان حوالي مية و عشرين مليون.	التعداد السكاني لليابان حوالي ميي وعشين مليون.	يبلغ عدد سكان اليابان حوالي مائة وعشرين مليون نسمة.	عدد سكان اليابان حوالي مئة و عشرين مليون.	عدد السكان في اليابان حوالي ميه وعشرين مليون.	الشعب الياباني قرابت عشرين مليون ساكن.	عدد سكان اليابان ميه و عشرين مليون تقريبا.
11192	corpus-6-train	ممكن تجبلي الترويقة بكرا الصبح الساعة تمانة؟					ممكن تجيبلي الفطور بكرة الصبح عالساعة تمانيه؟				هلاّ أحضرت لي الإفطار في الثامنة من صباح الغد ؟	ممكن تجيب لي الريوق بكرة الصبح الساعة ثمان؟	واش يمكن ليك تجيب ليا الفطور مع التمنية دالصباح غدا؟	تنجم تجيبلي فطور الصباح مع الثمانيا متاع الصباح غدوة في الصباح؟													
11193	corpus-6-train	انت من هون؟					انت من المناطق اللي حوالينا؟				هل أنت من هنا ؟	انت من هني؟	واش انتا من هنا؟	إنت من هوني؟													
11194	corpus-6-train	من اي نوع من الجلد مصنوع هالكتاب؟					ايه نوع الجلد اللي اتعملت منه المحفظة ديه؟				من أي نوع من الجلد صنعت حافظة النقود هذه ؟	من اي نوع من الجلد مصنوعة هالشنطة؟	اشمن نوع دالجلد مصنوع هاد الصاك؟	من أنا جلد مصنوع الصاكمان هذا؟													
11197	corpus-6-test-corpus-26-train	عبي هول المعلومات بكرت الدخول .	إملا البنود الجاية على بطاقة التسجيل.	عبيلي هدول الأشياء على بطاقة التسجيل.	إملى النقط دول في كارت التسجيل.	سجل هالشغلات ع بطاقة التسجيل.	املا البيانات ديه في بطاقة التسجيل .	عبي هالبنود على بطاقة التسجيل.	عبي المواد هاي على بطاقة التسجيل.	عبي النقاط التالية على بطاقة التسجيل .	املأ البنود الآتية في بطاقة التسجيل .	سجل هالأغراض في بطاقة التسجيل.	زيد هاد المواد على بطاقة التسجيل.	زيد الحاجات هاذم لبطاقة التسجيل.	زيد هاذ الحاجات في بطاقة التسجيل.	اترس الفقرات التالية بكارد التسجيل.	املي الاشياء التالية بكارت التسجيل.	عبي المواد التالية على بطاقة التسجيل.	عمر هاد حاجات على بطاقة التسجيل.	عبي البيانات في كرت التسجيل.	املأ العناصر التالية في بطاقة التسجيل.	املي الفقرات التاليه على بطاقة التسجيل.	املأ العناصر التالية على بطاقة التسجيل.	عبئ العناصر التالية على بطاقة التسجيل.	عبي هولا النقط في بطاقه التسجيل.	زيد هالقضيات في كارطة التسجيل.	عبي الحاجات هادو في بطاقة التسجيل.
11198	corpus-6-train	وين فيي اركب عباص مخرج المدينة؟					منين اخد الاوتبيس بتاع مطار المدينة؟				أين يمكن أن اركب الحافلة إلى موقف المدينة العمومي ؟	وين احصل الباص اللي يروح محطة المدينة؟	فين يمكن ليا ناخد الطوبيس للمحطة الطرقية دالمدينة؟	منين نجم ناخو الكار باش نمشي لمحطة الترمينيس متاع المدينة؟													
11199	corpus-6-test-corpus-26-train	فيني ارجع اخد اغراضي؟	ممكن أسترد حاجاتى؟	ممكن ترجعلي أغراضي؟	ممكن أخد حاجتى؟	معلش آخد غراضي؟	ممكن استرد حاجتي؟	فيني آخد غراضي؟	بقدر أسترجع أغراضي؟	بقدر ارجع اشياءي؟	هل يمكن أن أستعيد متعلقات ؟	ممكن آخذ أغراضي؟	واش يمكن لي نسترجع أغراضي؟	ياخي نجم نسترجع حاجاتي؟	اذا نقدر ندي الأغراض دياولي؟	ممكن ترجعلي حاجاتي؟	اكدر استرجع اشياءي؟	نقدر نرد حاجاتي؟	ممكن ناخد حوايجي مرة اخرى؟	ممكن ترجع أشيائي؟	ممكن أسترجع حاجاتي؟	اطيق احصل على اشيائي مره اللخ؟	هل اقدر احصل على أشياءي مرة أخرى؟	اقدر استرجع اشيائي؟	اقدر اشل حاجاتي؟	انجم ناخذ دبشي؟	هل نقدر نسترجع حاجاتي؟
11201	corpus-6-dev	عيونك حلوين .					عينيكي حلوة .				لديك عينان جميلتان .	عيونك حلوة.	عندك عيون زوينين.	عندك عينين مزيانين.													
11203	corpus-6-train	وين مقعدي، إذا بتريد؟					فين الكرسي بتاعي، من فضلك ؟				أين مقعدي ، من فضلك ؟	وين كرسيي، لو سمحت؟	فين بلاصتي، عافاك؟	ويني بلاصتي، يعيشك؟													
11211	corpus-6-train	بدي فلترللأشعة ما فوق البنفسجية، إذا بتريد .					عايز فيلتر اشعة فوق بنفسجية للكاميرا، من فضلك .				أريد مرشح للأشعة فوق البنفسجية ، من فضلك .	ابغي فلتر حماية، لو سمحت.	بغيت فيلتر الأشعة فوق البنفسجية، عافاك.	نحب فيلتر إلترا فيولي، يعيشك.													
11212	corpus-6-train	فيني شوف ارخص؟					ممكن أشوف واحد أرخص شويه ؟				هل يمكن أن أرى أرخص من هذه ؟	ممكن توريني ارخص؟	واخا نشوف اللي أقل تمن؟	ياخي نجم نشوف حاجات ما أرخص؟													
11213	corpus-6-train	بدي طاولة لغير المدخنين، إذا بتريد .					عايز ترابيزه في مكان غير المدخنين، من فضلك .				أريد منضدة لغير المدخنين ، من فضلك .	بغيت طاولة لغير المدخنين، لو سمحت.	بغيت واحد الطاولة غير المدخنين، من فضلك.	نحب طاولة للي ما يتكيفوش، يعيشك.													
11214	corpus-6-train	هيدا احسن نوعية عندك؟					ده احسن جوده عندك؟				هل هذه هي أفضل نوعية عندكم ؟	هذي افضل جودة عندك؟	واش هادا أفضل نوع متوفر عندك؟	ياخي هاذي أحسن جودة عندك؟													
11216	corpus-6-train	شو بتحب تشرب المدام؟					المدام تحب تشرب ايه؟				ماذا تحب سيدتي أن تشرب ؟	والأخت شنو تبغي تشرب؟	اشنو بغيتي تشرب سيدتي؟	شنيا تحب تشرب، مادام؟													
11217	corpus-6-dev	عن اذنك، بتروح عالتالت والسبعة وعشرين؟					أعذرني، حتروح بين تلاته و سبعه و عشرين؟				عفوا ، هل تذهب إلى الثالث والسابع والعشرين ؟	لو سمحت، تروح الثالث والسبعة وعشرين؟	اسمح ليا، واش غادي مابين الشارع التالت و السبعة و عشرين؟	سامحني، ياخي مشيت بين الطريق الثالث والسبعا وعشرين؟													
11218	corpus-6-train	عن اذنك، وين البار؟					لا مؤاخذة . فين البار؟				معذرة ، أين البار ؟	لو سمحت. وين البار؟	اسمح ليا. فيناهو البار؟	سامحني. وين البار؟													
11221	corpus-6-train	شكرا . خلي الباقي .					شكرا . خلي الباقي .				شكراً . احتفظ بالباقي .	شكراً. خل الباقي.	شكرا. احتفظ بالباقي.	يعيشك. خلي عندك الباقي.													
11222	corpus-6-train	اوك، لكن بدقلك بعدين . شكرا .					بص، انا حأكلمك بعدين . شكرا .				حسنا , سوف أستدعيك فيما بعد ، شكراً .	انزين، بكلمك بعدين عيل. شكراً.	حسنا، غادي نعاود الاتصال بيك من بعد. شكرا.	إي باهي، تو نعاود نكلمك من بعد مالا. يعيشك.													
11223	corpus-6-train	في ملعب؟					فيه ملعب؟				هل يوجد هناك ملعبا ؟	في حديقة؟	واش كاين شي فضاء دالألعاب؟	ياخي فما ملعب؟													
11225	corpus-6-train	"عندك بطاقتين ""للجميلة والوحش "" الاربعا؟"					"عندك تذكرتين لمسرحية "" الجميلة و الوحش "" يوم الاربع؟"				"هل لديك تذكرتان لمسرحية "" الجميلة والوحش "" يوم الأربعاء ؟"	"عندك تذاكر حق ""الحسناء والوحش"" يوم الأربعاء؟"	"واش عندك جوج تذاكر ل"" الجميلة و الوحش"" هاد الأربعاء؟"	"ياخي عندك زوز تساكر ل""الجميلة والوحش"" نهار الإربعاء هاذي؟"													
11226	corpus-6-train	عندك جولة ليوم كامل؟					عندك رحلة ليوم كامل؟				هل لديكم جولة تستغرق يوماً بأكمله ؟	عندك جولة يوم كامل؟	واش عندك جولة ديال نهار كامل؟	ياخي عندك جولة نهار كامل؟													
11227	corpus-6-train	اي وقت منوصل عنيويورك؟					حنوصل امتى لنيويورك؟				متى نصل إلى نيويورك ؟	الساعة كم بنوصل نيويورك؟	اشمن ياعة غادي نوصلو لنيويورك؟	وقتاش باش نوصلو لنيويورك؟													
11228	corpus-6-dev	لازم روح هلا .					كان مفروض اكون ماشي دلوقتي .				ليس هذا مشكلة . لقد وضعنا هذا النوع من المواقف بالضبط في حساباتنا .	لازم امشي الحين.	خصني نمشي فحالي.	يلزمني نمشي.													
11229	corpus-6-train	للأسف ما حيوصل الا لبكرا .					للأسف مش يوصلش غير بكره .				يجب أن أذهب الآن .	مسامحة بس ما بيوصل لي باجر.	سمح ليا مايوصلش قبل غدا.	سامحني ما يوصلش قبل غدوة.													
11230	corpus-6-train	ما مشكلة . نحن سامحين بالزبط لهيك مواقف بحساباتنا .					ده مش مشكلة، احنا بالفعل سمحنا للنوع ده بالظبط من المواقف في حساباتنا .				أخشى ألا يصل إلا في الغد .	هذي مو مشكلة. احنا اصلاً توقعنا هالوضع في حساباتنا.	ماشي مشكل. اخدينا بعين الاعتبار هاد النوع ديال الحالات بالضبط.	موش مشكل. عملنا حسابنا أصلا في النوع هذا م الوضعيات.													
11234	corpus-6-train	فيك تاخدني عالمستشفى ؟					ممكن تاخدني للمستشقى؟				هل يمكن أن تأخذني إلى المستشفى ؟	ممكن توديني المستشفى؟	واش يمكن لك تديني للمستشفى؟	تنجم تهزني للسبيطار؟													
11235	corpus-6-train	وين أقرب صيدلية بتفتح بالليل؟					فين أقرب صيدلية بتفتح طول الليل؟				أين أقرب صيدلية ليلية ؟	وين اقرب صيدلية تفتح طول الليل؟	فيناهي صيدلية الحراسة الأقرب؟	وين موجودة الفرماسي متاع الليل؟													
11237	corpus-6-train	بأثر شي اذا بس اخدنا التحلاية؟					حيكون فيه مشكلة لو اخدنا التحلية بس؟				هل يكون مقبولاً لو أخذنا الحلوى فقط ؟	عادي بس ناخذ حلو؟	واش ممكن ناخدو غير تحلية وحدة؟	ياخي ممكن ما ناخو كان ديسار؟													
11238	corpus-6-train	اوك . خلينا نفقد كل شي كاملا .					ماشي . خلينا نراجع كل حاجه بدقة .				حسنا ، فلنتفحص كل شيء بشكل شامل .	اوكي. خلنا نجيك كل شي كامل.	واخا. يللاه نتحققو من كلشي بكل دقة.	باهي. نثبتو في الكل بالتدقيق.													
11239	corpus-6-train	العجقة كانت مخيفة بمنطقة اتسوجي، صح؟					زحمة المرو كانت فظيعه جدا في منطقة اتسوجي، مش كده؟				كان الازدحام المروري فظيعاً في منطقة أتسوجي , أليس كذلك ؟	الزحمة كانت مأساة في منطقة اتسوقي، صح؟	زحمة المرور فمنطقة أسطوجي كانت خطيرة، ياك؟	الزحمة في منطقة أتسوغي كانت بالحق رهيبة، صحيح؟													
11240	corpus-6-test-corpus-26-train	عندك فولارات حرير؟ عم فتش على هدية لمرتي .	عندك سكارفات حرير؟ أنا بدور على هدية لمراتى.	عندك شالات حرير؟ عم بدور على هدية لمرتي.	عندك إيشارب حرير؟ أنا بدور على هدية لمراتى.	عندك لفاحات حرير؟ عم بدور ع هدية لمرتي.	عندك سكارفات حرير؟ بأدور على هديه أقدمها لمراتي.	عندك لحشات حرير؟ عم دور على هدية لزوجتي.	في عندك شالات حرير؟ عم بدور على هدية لمرتي.	عندك سكارفات من حرير؟ بدور على هدية لمرتي .	هل لديكم أوشحة حريرية ؟ إنني أبحث عن هدية لزوجتي .	عندك شالات حرير؟ ابغي هدية حق زوجتي.	واش عندك وشاحات من الحرير؟ كانقلب على شي هدية لمراتي.	ياخي عندك خمارات سوا؟ نلوج على هدية لمرتي.	اذا عندكم شال من الحرير؟ راني نحوس هدية للزوجة ديالي.	عندك شالات حرير؟ دا ادور على هدية لزوجتي.	عندك لفاف حرير؟ جاي ادور هدية لمرتي.	عندك أوشحة سلك؟ أنا ندور في هدية لمراتي.	واش عندك شال ديال الحرير بغيت هدية للزوجة ديالي.	عندك طرحة حرير؟ ادور على هدية لزوجتي.	هل عندك اوشحة حريرية؟ انا بفتش لهدية لزوجتي.	هل عندك اشارات حرير؟ عددوغ على هديه لمغتي.	هل عندك الأوشحة الحريرية؟ أدور على هدية لزوجتي.	عندك شالات حريرية؟ ادور على هدية لزوجتي.	معك مقارم حرير؟ بين ادور على هديه لمرتي.	عندكم كاشكولات حرير؟ نلوج على هدية لمرتي.	عندك شاربات حرير؟ اندور في هدية لمرتي.
11243	corpus-6-train	كتير واسعين .					دول واسعين قوي .				إنها واسعة للغاية .	هم واجد وساع.	راهم واسعين بزاف.	هوما ياسر واسعين.													
11244	corpus-6-train	قصدك السمكة فوجو . عندا سم مميت بالكبد والمبايض .					السمك اللي انت تقصده اسمه فوجو . ده فيه سم قاتل في كبده و في المبيض .				إن السمكة التي تعنيها هي فوجو . فيها سم زعاف في كبدها ومبايضها .	السمجة اللي تقصدها اعنزه. فيها سم مميت في الكبد والمبايض.	الحوت اللي كاتقصد هو فوغو. الكبدة ديالو و المبيض كايحتاوي على سم قاتل.	الحوتة إلي تقصدها هي القراض. كبدتها ومبايضها فيها سم قاتل.													
11246	corpus-6-test-corpus-26-train	رح نجيبو هلا . اديه رقم غرفتك؟	هنجيبه دلوقتى. رقم أوضتك كام؟	راح نجيبه هلأ. كم رقم غرفتك؟	أحنا هنجيبه دلوقتى. رقم أوضتك كام؟	رح نجيبو هلئ. شقد رقم غرفتك؟	حنجيبه دلوقتي . ايه رقم أوضتك؟	رح تنجيبه هلأ. شو رقم غرفتك؟	رح نجيبها هلأ. شو رقم غرفتك؟	رح نجيبه هلا . قديش رقم غرفتك؟	سوف نحضرها الآن . ما هو رقم غرفتك ؟	بنجيبه الحين. كم رقم غرفتك؟	غادي نجيبوه دابا. اشنو الرقم دالغرفة ديالك؟	باش نجيبهولك توا. شنيا نومرو بيتك؟	دوك نجيبوهوك فالحين. شحال الرقم تع الغرفة ديالك؟	هسه راح نجيبها. شكد رقم غرفتك؟	راح نجيبه هسه. شكد رقم غرفتك؟	حنجيبوها توا. شنو رقم دارك؟	غادي نجيبوهلك دابا. شنو رقم غرفتك؟	حنجيبها دحين. كم رقم غرفتك؟	ح نجيبه أسي. كم رقم غرفتك؟	غاح نجيبو هسا. اشقد رقم غرفتك؟	سنقوم جلبه الآن. ما هو رقم غرفتك؟	بنجيبه الان. كم رقم غرفتك؟	عنديه الان. ما رقم غرفتك؟	اهو توة باش نجيبوهولك. قداش نومرو بيتك؟	توا نجيبوه توا. شن رقم دارك؟
11247	corpus-6-train	هيدا الحفل عنجد حلو .					أظن ان الحفل كان فعلا كويس .				لقد ظننت أن هذا الحفل الموسيقي جيدا فعلاً .	الحفلة كانت واجد حلوة.	جاني الحفل الموسيقي رائع.	حسب راي الحفلة طيارة.													
11250	corpus-6-train	وين غرفة الشنط؟					فين أوضة الشنط؟				أين غرفة الأمتعة ؟	وين غرفة الشناط؟	فين قاعة أغراض السفر؟	وين موجودة قاعة الدبش؟													
11253	corpus-6-train	فيني اخذ صور جوا؟					ممكن أخد صور جوا؟				هل يمكن أن ألتقط صورا بالداخل ؟	يصير اصور داخل؟	واش يمكن ناخد صور لداخل؟	ياخي نجم نعمل تصاور لداخل؟													
11255	corpus-6-train	ما بقدر اعمله لحالي.					ما اقدر أدير ده لوحدي .				لا أستطيع أن أديرها وحدي .	ماقدر اتصرف بروحي.	مايمكنش ليا ندبر هاد الشي بوحدو.	ما نجمش نتصرف في هذا وحدي.													
11256	corpus-6-train	ما بحياتي شايف هيك مشهد شامل.					عمري ما شفت منظر للطبيعة الفسيحة كده .				لم أر أبداً مثل هذا المنظر الفسيح .	ولا مرة شفت مكان شرح جذي.	ماعمري ما شفت شي منظر واسع بحال هادا.	ما ريتش بالكل منظر واسع برشا.													
11257	corpus-6-train	بدي شوف معالج فيزيائي.					عايز اشوف دكتور مقوم للعضم بالتمرينات .				أريد رؤية ممارس عظم (معالج لعظام الظهر بالضغط) .	احتاج اروح حق دكتور مفاصل.	خاصني نشوف طبيب ترويض.	يلزم نشوف كيني.													
11258	corpus-6-train	ايه . ما حاسس حالي مرتاح من يومين .					ايوه، انا مش حاسس اني كويس بقالي يومين .				نعم . لم أشعر بأنني لست على ما يرام منذ حوالي يومين .	اي. احس اني تعبان من يومين.	نعم. ماكنحسش براسي مزيان هادي يومين.	إيه. ما نيش حاسس روحي لاباس عندي تقريب نهارين.													
11259	corpus-6-train	عندي اسهال.					عندي اسهال .				إنني مصاب بإسهال .	فيني اسهال.	فيا الاسهال.	عندي جريان جوف.													
11260	corpus-6-train	ليه الغدا بيتقدم عالساعة تلاتة؟					ليه بتقدمو الغدا عالساعة تلاته ؟				لماذا يقدم الغداء في الساعة الثالثة ؟	ليش يقدمون الغدا الساعة ثلاث؟	علاش الغدا كيتقدم فالتلاتة؟	علاش الفطور يتسربى مع ماضي تلاثا متاع العشية؟													
11263	corpus-6-train	الجمعه مليان لحد الساعة التمانة ونص .					الجمعة مقفل عالاخر لحد تمانيه و نص .				يوم الجمعة محجوز بالكامل حتى الثامنة والنصف .	الجمعة مليان لي ثمان ونص.	الجمعة عامر حتى للتمنية و نص دالليل.	معبي نهار الجمعة حتى لثمانيا ونص متاع الليل.													
11264	corpus-6-test-corpus-26-test	استاذ كوبيشي كان عم بفتش عليك .	أستاذ كوباياشى كان بيدور عليك.	السيد كوباياشي كان بدور عليك.	أستاذ كوباياشى بيدور عليك.	أستاذ كوباياشي كان عم يدور عليك.	مستر كوبايشي كان بيدور عليك .	الاستاذ كوباياشي كان عم يدور عليك.	سيد كوباياشي كان يدور عليك.	السيد كوباياشي كان بيدور عليك .	السيد كوباياشي كان يبحث عنك .	سيد كوباياشي يدورك.	سيد كوباشي كيقلب عليك.	سي كوباياشي يلوج عليك.	السيد كوباياشي راهو يحوس عليك.	سيد كوباياشي جان يدور عليك.	استاد كوباياشي جان يدور عليك.	سيد كوباياشي كان يدور عليك.	السيد كوباياشي كان كيبحث عليك.	مستر كوبأيشي قاعد ينتظرك.	مستر كوباياشي كان بفتش عنك.	السيد كوباياشي عيدوغ عليك.	السيد كوباياشي كان يبحث عنك.	سيد كوباياشي يبحث عنك.	السيد كوبايشي بيدور عليك.	سي كوباياشي يلوج عليك.	السيد كاباياشي كان يدور عليك.
